Operation,Configuration,Latency (ms),CPU Usage (%),Memory Usage (MB),Throughput (ops/s)
INSERT,HNSW Baseline,7812.220096588135,18.4,13.21484375,128.0045861018092
INSERT,Disk-based Indexing Only,5552.475452423096,23.1,6.91015625,180.0998507005737
INSERT,Payload-based Indexing Only,3190.3083324432373,43.4,6.12890625,313.4493270856265
INSERT,Disk-based + Payload Indexing,2988.0475997924805,40.3,4.4921875,334.6666900719553
SEARCH,HNSW Baseline,636.1510753631592,2.4,0.0703125,15.719536423468758
SEARCH,Disk-based Indexing Only,87.2035026550293,16.6,0.0,114.67429283843416
SEARCH,Payload-based Indexing Only,66.92337989807129,24.8,-5.13671875,149.42461087934677
SEARCH,Disk-based + Payload Indexing,73.84848594665527,0.0,0.0,135.41239027193512
UPDATE,HNSW Baseline,727.9143333435059,17.0,-5.375,137.37880327300763
UPDATE,Disk-based Indexing Only,138.6723518371582,44.3,-0.22265625,721.124280905174
UPDATE,Payload-based Indexing Only,262.8481388092041,52.9,1.2578125,380.44781466985347
UPDATE,Disk-based + Payload Indexing,242.97833442687988,46.5,-3.8203125,411.5593278547774
DELETE,HNSW Baseline,119.02236938476562,14.3,0.0,840.1781994166854
DELETE,Disk-based Indexing Only,46.927452087402344,33.2,0.0,2130.9488487410326
DELETE,Payload-based Indexing Only,31.949996948242188,50.4,0.0078125,3129.890752790878
DELETE,Disk-based + Payload Indexing,26.907920837402344,50.4,0.00390625,3716.3778132199186
