Operation,Configuration,Latency (ms),CPU Usage (%),Memory Usage (MB),Throughput (ops/s)
INSERT,HNSW Baseline,40407.689809799194,48.5,526.47265625,12.373882356391132
INSERT,Disk-based Indexing Only,26506.922721862793,67.9,692.921875,18.86299685733049
INSERT,Payload-based Indexing Only,26705.018520355225,67.5,705.16796875,18.723072579743302
INSERT,Disk-based + Payload Indexing,24253.838539123535,64.1,675.26171875,20.61529350059195
SEARCH,HNSW Baseline,1575.8106708526611,4.0,-26.8671875,6.34594001993213
SEARCH,Disk-based Indexing Only,186.143159866333,9.1,0.5078125,53.722092217521556
SEARCH,Payload-based Indexing Only,92.4537181854248,33.6,0.35546875,108.16222642278206
SEARCH,Disk-based + Payload Indexing,450.21677017211914,0.0,0.47265625,22.211522676458657
UPDATE,HNSW Baseline,15408.483982086182,233.6,-538.43359375,3.244965569495982
UPDATE,Disk-based Indexing Only,17370.294094085693,217.7,-531.31640625,2.8784774586530575
UPDATE,Payload-based Indexing Only,16153.077125549316,222.3,-549.19921875,3.095385455747934
UPDATE,Disk-based + Payload Indexing,19784.71851348877,177.2,-518.625,2.5272030009378774
DELETE,HNSW Baseline,299.5269298553467,0.0,0.25,166.92989850410768
DELETE,Disk-based Indexing Only,287.7955436706543,10.6,0.30859375,173.7344482902025
DELETE,Payload-based Indexing Only,225.68011283874512,0.0,0.296875,221.5525301324465
DELETE,Disk-based + Payload Indexing,280.2739143371582,11.1,0.32421875,178.3969090318267
