Operation,Configuration,Latency (ms),CPU Usage (%),Memory Usage (MB),Throughput (ops/s)
INSERT,HNSW Baseline,6780.18045425415,65.8,155.0,1474.8869985791616
INSERT,Disk-based Indexing Only,5501.534223556519,66.9,122.375,1817.674778279468
INSERT,Payload-based Indexing Only,5673.947811126709,66.3,121.0,1762.4413076887715
INSERT,Disk-based + Payload Indexing,5798.300743103027,65.2,118.5,1724.643208942692
SEARCH,HNSW Baseline,45.014381408691406,0.0,0.0,222.15122560962692
SEARCH,Disk-based Indexing Only,9.665489196777344,0.0,0.0,1034.6087814504194
SEARCH,Payload-based Indexing Only,12.523889541625977,0.0,0.0,798.4739857983209
SEARCH,Disk-based + Payload Indexing,8.039712905883789,0.0,0.0,1243.8255093265325
UPDATE,HNSW Baseline,43.11060905456543,69.5,0.25,2319.614642266576
UPDATE,Disk-based Indexing Only,45.13144493103027,66.4,0.0,2215.750019810349
UPDATE,Payload-based Indexing Only,63.05742263793945,79.2,0.0,1585.8561263148342
UPDATE,Disk-based + Payload Indexing,45.89700698852539,43.6,0.0,2178.791310400715
DELETE,HNSW Baseline,11.464834213256836,86.8,0.0,8722.324120864267
DELETE,Disk-based Indexing Only,9.09113883972168,0.0,0.0,10999.722010962209
DELETE,Payload-based Indexing Only,12.420892715454102,0.0,0.0,8050.951110428624
DELETE,Disk-based + Payload Indexing,5.783796310424805,0.0,0.0,17289.682179809555
