Operation,Configuration,Latency (ms),CPU Usage (%),Memory Usage (MB),Throughput (ops/s)
INSERT,HNSW Baseline,1422.4441051483154,69.2,30.8203125,703.0153215726758
INSERT,Disk-based Indexing Only,1243.8335418701172,66.2,28.203125,803.966098628028
INSERT,Payload-based Indexing Only,1795.3219413757324,67.0,12.50390625,557.0031630280821
INSERT,Disk-based + Payload Indexing,1646.1009979248047,62.8,28.1484375,607.4961386091577
SEARCH,HNSW Baseline,47.91760444641113,33.2,0.0390625,20.869156785964844
SEARCH,Disk-based Indexing Only,41.79024696350098,0.0,-0.734375,23.929028246073447
SEARCH,Payload-based Indexing Only,27.9848575592041,0.0,-0.22265625,35.73361050290943
SEARCH,Disk-based + Payload Indexing,106.25743865966797,14.2,-0.765625,9.411105825756827
UPDATE,HNSW Baseline,3152.690649032593,378.2,1.859375,31.718938244285127
UPDATE,Disk-based Indexing Only,3190.5677318573,373.1,-12.40234375,31.342384304058573
UPDATE,Payload-based Indexing Only,2986.14764213562,377.1,-27.58203125,33.487962413165356
UPDATE,Disk-based + Payload Indexing,3213.078022003174,381.0,-28.07421875,31.122804773242205
DELETE,HNSW Baseline,8.496522903442383,0.0,0.01171875,11769.520442237
DELETE,Disk-based Indexing Only,7.90858268737793,293.0,0.0,12644.49066956076
DELETE,Payload-based Indexing Only,10.45536994934082,0.0,0.0,9564.46309260484
DELETE,Disk-based + Payload Indexing,15.432357788085938,416.7,0.0,6479.89123717711
